Port Number,Service Name,Transport Protocol,Description,Source
56023,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56024,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56025,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56026,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56027,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56028,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56029,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56030,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56031,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56032,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56033,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56034,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56035,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56036,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56037,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56038,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56039,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56040,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56041,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56042,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56043,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56044,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56045,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56046,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56047,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56048,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56049,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56050,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56051,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56052,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56053,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56054,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56055,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56056,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56057,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56058,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56059,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56060,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56061,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56062,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56063,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56064,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56065,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56066,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56067,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56068,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56069,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56070,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56071,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56072,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56073,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56074,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56075,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56076,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56077,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56078,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56079,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56080,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56081,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56082,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56083,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56084,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56085,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56086,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56087,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56088,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56089,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56090,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56091,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56092,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56093,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56094,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56095,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56096,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56097,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56098,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
56099,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
62900,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
62911,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
62924,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
62930,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
62938,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
62956,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
62957,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
62963,SNC GENe,tcp,SNC GENe,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
