Port Number,Service Name,Transport Protocol,Description,Source,System Type
10002,documentum,"tcp, udp",EMC-Documentum Content Server Product,IANA,IT
10003,"documentum_s, documentum-s","tcp, udp","EMC-Documentum Content Server Product, EMC-Documentum Content Server Product
IANA assigned this well-formed service name as a replacement for ""documentum_s"".",IANA,IT
10004,emcrmirccd,"tcp, udp",EMC Replication Manager Client,IANA,IT
10005,emcrmird,"tcp, udp",EMC Replication Manager Server,IANA,IT
10006,netapp-sync,"tcp, udp",Sync replication protocol among different NetApp platforms,IANA,IT
10007,mvs-capacity,"tcp, udp",MVS Capacity,IANA,IT
10008,octopus,"tcp, udp",Octopus Multiplexer,IANA,IT
10009,swdtp-sv,"tcp, udp",Systemwalker Desktop Patrol,IANA,IT
10010,rxapi,"tcp, udp",ooRexx rxapi services,IANA,IT
10020,abb-hw,"tcp, udp",Hardware configuration and maintenance,IANA,IT
10023,cefd-vmp,"tcp, udp",Comtech EF-Data's Vipersat Management Protocol,IANA,IT
10050,zabbix-agent,"tcp, udp",Zabbix Agent,IANA,IT
10051,zabbix-trapper,"tcp, udp",Zabbix Trapper,IANA,IT
10055,qptlmd,"tcp, udp",Quantapoint FLEXlm Licensing Service,IANA,IT
10080,amanda,"tcp, udp",Amanda,IANA,IT
10081,famdc,"tcp, udp",FAM Archive Server,IANA,IT
10100,itap-ddtp,"tcp, udp",VERITAS ITAP DDTP,IANA,IT
10101,ezmeeting-2,"tcp, udp",eZmeeting,IANA,IT
10102,ezproxy-2,"tcp, udp",eZproxy,IANA,IT
10103,ezrelay,"tcp, udp",eZrelay,IANA,IT
10104,swdtp,"tcp, udp",Systemwalker Desktop Patrol,IANA,IT
10107,bctp-server,"tcp, udp","server, VERITAS BCTP",IANA,IT
10110,nmea-0183,"tcp, udp",NMEA-0183 Navigational Data,IANA,IT
10111,nmea-onenet,"tcp, udp",NMEA OneNet multicast messaging,IANA,IT
10113,netiq-endpoint,"tcp, udp",NetIQ Endpoint,IANA,IT
10114,netiq-qcheck,"tcp, udp",NetIQ Qcheck,IANA,IT
10115,netiq-endpt,"tcp, udp",NetIQ Endpoint,IANA,IT
10116,netiq-voipa,"tcp, udp",NetIQ VoIP Assessor,IANA,IT
10117,iqrm,"tcp, udp",NetIQ IQCResource Managament Svc,IANA,IT
10125,cimple,"tcp, udp",HotLink CIMple REST API,IANA,IT
10128,bmc-perf-sd,"tcp, udp",BMC-PERFORM-SERVICE DAEMON,IANA,IT
10129,bmc-gms,"tcp, udp",BMC General Manager Server,IANA,IT
10160,qb-db-server,"tcp, udp",QB Database Server,IANA,IT
10161,"snmptls, snmpdtls","tcp, udp","SNMP-DTLS, SNMP-TLS",IANA,IT
10162,"snmptls-trap, snmpdtls-trap","tcp, udp","SNMP-Trap-DTLS, SNMP-Trap-TLS",IANA,IT
10200,trisoap,"tcp, udp",Trigence AE Soap Service,IANA,IT
10201,"rsms, rscs","tcp, udp","Remote Server Control and Test Service, Remote Server Management Service",IANA,IT
10252,apollo-relay,"tcp, udp",Apollo Relay Port,IANA,IT
10253,eapol-relay,"tcp, udp",Relay of EAPOL frames,IANA,IT
10260,axis-wimp-port,"tcp, udp",Axis WIMP Port,IANA,IT
10261,tile-ml,"tcp, udp",Tile remote machine learning,IANA,IT
10288,blocks,"tcp, udp",Blocks,IANA,IT
10307,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10311,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10364,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10365,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10407,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10409,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10410,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10412,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10414,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10415,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10428,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10431,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10432,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10439,bngsync,"tcp, udp",BalanceNG session table synchronization protocol,IANA,IT
10443,cirrossp,"tcp, udp",CirrosSP Workstation Communication,IANA,IT
10447,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10449,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10450,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
10500,hip-nat-t,"tcp, udp",HIP NAT-Traversal,IANA,IT
10540,MOS-lower,"tcp, udp",MOS Media Object Metadata Port,IANA,IT
10541,MOS-upper,"tcp, udp",MOS Running Order Port,IANA,IT
10542,MOS-aux,"tcp, udp",MOS Low Priority Port,IANA,IT
10543,MOS-soap,"tcp, udp",MOS SOAP Default Port,IANA,IT
10544,MOS-soap-opt,"tcp, udp",MOS SOAP Optional Port,IANA,IT
10548,serverdocs,"tcp, udp",Apple Document Sharing Service,IANA,IT
10631,printopia,"tcp, udp",Printopia Serve,IANA,IT
10800,gap,"tcp, udp",Gestor de Acaparamiento para Pocket PCs,IANA,IT
10805,lpdg,"tcp, udp",LUCIA Pareja Data Group,IANA,IT
10809,nbd,"tcp, udp",Network Block Device,IANA,IT
10810,nmc-disc,"tcp, udp",Nuance Mobile Care Discovery,IANA,IT
10860,helix,"tcp, udp",Helix Client/Server,IANA,IT
10880,bveapi,"tcp, udp",BVEssentials HTTP API,IANA,IT
10933,octopustentacle,"tcp, udp",Listen port used by the Octopus Deploy Tentacle deployment agent,IANA,IT
10990,rmiaux,"tcp, udp",Auxiliary RMI Port,IANA,IT
11000,irisa,"tcp, udp",IRISA,IANA,IT
11001,metasys,"tcp, udp",Johnson Controls Metasys N1,"IANA, https://github.com/ITI/ICS-Security-Tools/tree/master/protocols","IT, ICS"
11095,weave,"tcp, udp",Nest device-to-device and device-to-service application protocol,IANA,IT
11103,origo-sync,"tcp, udp",OrigoDB Server Sync Interface,IANA,IT
11104,netapp-icmgmt,"tcp, udp",NetApp Intercluster Management,IANA,IT
11105,netapp-icdata,"tcp, udp",NetApp Intercluster Data,IANA,IT
11106,sgi-lk,"tcp, udp",SGI LK Licensing service,IANA,IT
11108,myq-termlink,"tcp, udp",Hardware Terminals Discovery and Low-Level Communication Protocol,IANA,IT
11109,sgi-dmfmgr,"tcp, udp",Data migration facility Manager (DMF) is a browser based interface to DMF,IANA,IT
11110,sgi-soap,"tcp, udp",Data migration facility (DMF) SOAP is a web server protocol to support remote access to DMF,IANA,IT
11111,vce,"tcp, udp",Viral Computing Environment (VCE),IANA,IT
11112,dicom,"tcp, udp",DICOM,IANA,IT
11161,suncacao-snmp,"tcp, udp",sun cacao snmp access point,IANA,IT
11162,suncacao-jmxmp,"tcp, udp",sun cacao JMX-remoting access point,IANA,IT
11163,suncacao-rmi,"tcp, udp",sun cacao rmi registry access point,IANA,IT
11164,suncacao-csa,"tcp, udp",sun cacao command-streaming access point,IANA,IT
11165,suncacao-websvc,"tcp, udp",sun cacao web service access point,IANA,IT
11171,snss,"tcp, udp",Surgical Notes Security Service Discovery (SNSS),IANA,IT
11172,oemcacao-jmxmp,"tcp, udp",OEM cacao JMX-remoting access point,IANA,IT
11173,t5-straton,"tcp, udp",Straton Runtime Programing,IANA,IT
11174,oemcacao-rmi,"tcp, udp",OEM cacao rmi registry access point,IANA,IT
11175,oemcacao-websvc,"tcp, udp",OEM cacao web service access point,IANA,IT
11201,smsqp,"tcp, udp",smsqp,IANA,IT
11202,dcsl-backup,"tcp, udp",DCSL Network Backup Services,IANA,IT
11208,wifree,"tcp, udp",WiFree Service,IANA,IT
11211,memcache,"tcp, udp",Memory cache service,IANA,IT
11235,xcompute,"sctp, tcp, udp",numerical systems messaging,IANA,IT
11319,imip,"tcp, udp",IMIP,IANA,IT
11320,imip-channels,"tcp, udp",IMIP Channels Port,IANA,IT
11321,arena-server,"tcp, udp",Arena Server Listen,IANA,IT
11367,atm-uhas,"tcp, udp",ATM UHAS,IANA,IT
11371,hkp,"tcp, udp",OpenPGP HTTP Keyserver,IANA,IT
11430,lsdp,"tcp, udp",Lenbrook Service Discovery Protocol,IANA,IT
11431,,,Unassigned,IANA,IT
11432,,,Unassigned,IANA,IT
11433,,,Unassigned,IANA,IT
11434,,,Unassigned,IANA,IT
11435,,,Unassigned,IANA,IT
11436,,,Unassigned,IANA,IT
11437,,,Unassigned,IANA,IT
11438,,,Unassigned,IANA,IT
11439,,,Unassigned,IANA,IT
11440,,,Unassigned,IANA,IT
11441,,,Unassigned,IANA,IT
11442,,,Unassigned,IANA,IT
11443,,,Unassigned,IANA,IT
11444,,,Unassigned,IANA,IT
11445,,,Unassigned,IANA,IT
11446,,,Unassigned,IANA,IT
11447,,,Unassigned,IANA,IT
11448,,,Unassigned,IANA,IT
11449,,,Unassigned,IANA,IT
11450,,,Unassigned,IANA,IT
11451,,,Unassigned,IANA,IT
11452,,,Unassigned,IANA,IT
11453,,,Unassigned,IANA,IT
11454,,,Unassigned,IANA,IT
11455,,,Unassigned,IANA,IT
11456,,,Unassigned,IANA,IT
11457,,,Unassigned,IANA,IT
11458,,,Unassigned,IANA,IT
11459,,,Unassigned,IANA,IT
11460,,,Unassigned,IANA,IT
11461,,,Unassigned,IANA,IT
11462,,,Unassigned,IANA,IT
11463,,,Unassigned,IANA,IT
11464,,,Unassigned,IANA,IT
11465,,,Unassigned,IANA,IT
11466,,,Unassigned,IANA,IT
11467,,,Unassigned,IANA,IT
11468,,,Unassigned,IANA,IT
11469,,,Unassigned,IANA,IT
11470,,,Unassigned,IANA,IT
11471,,,Unassigned,IANA,IT
11472,,,Unassigned,IANA,IT
11473,,,Unassigned,IANA,IT
11474,,,Unassigned,IANA,IT
11475,,,Unassigned,IANA,IT
11476,,,Unassigned,IANA,IT
11477,,,Unassigned,IANA,IT
11478,,,Unassigned,IANA,IT
11479,,,Unassigned,IANA,IT
11480,,,Unassigned,IANA,IT
11481,,,Unassigned,IANA,IT
11482,,,Unassigned,IANA,IT
11483,,,Unassigned,IANA,IT
11484,,,Unassigned,IANA,IT
11485,,,Unassigned,IANA,IT
11486,,,Unassigned,IANA,IT
11487,,,Unassigned,IANA,IT
11488,,,Unassigned,IANA,IT
11489,asgcypresstcps,"tcp, udp",ASG Cypress Secure Only,IANA,IT
11600,tempest-port,"tcp, udp",Tempest Protocol Port,IANA,IT
11623,emc-xsw-dconfig,"tcp, udp",EMC XtremSW distributed config,IANA,IT
11624,,,Unassigned,IANA,IT
11625,,,Unassigned,IANA,IT
11626,,,Unassigned,IANA,IT
11627,,,Unassigned,IANA,IT
11628,,,Unassigned,IANA,IT
11629,,,Unassigned,IANA,IT
11630,,,Unassigned,IANA,IT
11631,,,Unassigned,IANA,IT
11632,,,Unassigned,IANA,IT
11633,,,Unassigned,IANA,IT
11634,,,Unassigned,IANA,IT
11635,,,Unassigned,IANA,IT
11636,,,Unassigned,IANA,IT
11637,,,Unassigned,IANA,IT
11638,,,Unassigned,IANA,IT
11639,,,Unassigned,IANA,IT
11640,,,Unassigned,IANA,IT
11641,,,Unassigned,IANA,IT
11642,,,Unassigned,IANA,IT
11643,,,Unassigned,IANA,IT
11644,,,Unassigned,IANA,IT
11645,,,Unassigned,IANA,IT
11646,,,Unassigned,IANA,IT
11647,,,Unassigned,IANA,IT
11648,,,Unassigned,IANA,IT
11649,,,Unassigned,IANA,IT
11650,,,Unassigned,IANA,IT
11651,,,Unassigned,IANA,IT
11652,,,Unassigned,IANA,IT
11653,,,Unassigned,IANA,IT
11654,,,Unassigned,IANA,IT
11655,,,Unassigned,IANA,IT
11656,,,Unassigned,IANA,IT
11657,,,Unassigned,IANA,IT
11658,,,Unassigned,IANA,IT
11659,,,Unassigned,IANA,IT
11660,,,Unassigned,IANA,IT
11661,,,Unassigned,IANA,IT
11662,,,Unassigned,IANA,IT
11663,,,Unassigned,IANA,IT
11664,,,Unassigned,IANA,IT
11665,,,Unassigned,IANA,IT
11666,,,Unassigned,IANA,IT
11667,,,Unassigned,IANA,IT
11668,,,Unassigned,IANA,IT
11669,,,Unassigned,IANA,IT
11670,,,Unassigned,IANA,IT
11671,,,Unassigned,IANA,IT
11672,,,Unassigned,IANA,IT
11673,,,Unassigned,IANA,IT
11674,,,Unassigned,IANA,IT
11675,,,Unassigned,IANA,IT
11676,,,Unassigned,IANA,IT
11677,,,Unassigned,IANA,IT
11678,,,Unassigned,IANA,IT
11679,,,Unassigned,IANA,IT
11680,,,Unassigned,IANA,IT
11681,,,Unassigned,IANA,IT
11682,,,Unassigned,IANA,IT
11683,,,Unassigned,IANA,IT
11684,,,Unassigned,IANA,IT
11685,,,Unassigned,IANA,IT
11686,,,Unassigned,IANA,IT
11687,,,Unassigned,IANA,IT
11688,,,Unassigned,IANA,IT
11689,,,Unassigned,IANA,IT
11690,,,Unassigned,IANA,IT
11691,,,Unassigned,IANA,IT
11692,,,Unassigned,IANA,IT
11693,,,Unassigned,IANA,IT
11694,,,Unassigned,IANA,IT
11695,,,Unassigned,IANA,IT
11696,,,Unassigned,IANA,IT
11697,,,Unassigned,IANA,IT
11698,,,Unassigned,IANA,IT
11699,,,Unassigned,IANA,IT
11700,,,Unassigned,IANA,IT
11701,,,Unassigned,IANA,IT
11702,,,Unassigned,IANA,IT
11703,,,Unassigned,IANA,IT
11704,,,Unassigned,IANA,IT
11705,,,Unassigned,IANA,IT
11706,,,Unassigned,IANA,IT
11707,,,Unassigned,IANA,IT
11708,,,Unassigned,IANA,IT
11709,,,Unassigned,IANA,IT
11710,,,Unassigned,IANA,IT
11711,,,Unassigned,IANA,IT
11712,,,Unassigned,IANA,IT
11713,,,Unassigned,IANA,IT
11714,,,Unassigned,IANA,IT
11715,,,Unassigned,IANA,IT
11716,,,Unassigned,IANA,IT
11717,,,Unassigned,IANA,IT
11718,,,Unassigned,IANA,IT
11719,,,Unassigned,IANA,IT
11720,h323callsigalt,"tcp, udp",H.323 Call Control Signalling Alternate,IANA,IT
11723,emc-xsw-dcache,"tcp, udp",EMC XtremSW distributed cache,IANA,IT
11751,intrepid-ssl,"tcp, udp",Intrepid SSL,IANA,IT
11796,"lanschool, lanschool-mpt","tcp, udp","LanSchool, Lanschool Multipoint",IANA,IT
11876,xoraya,"tcp, udp",X2E Xoraya Multichannel protocol,IANA,IT
11877,x2e-disc,"tcp, udp",X2E service discovery protocol,IANA,IT
11967,sysinfo-sp,"tcp, udp",SysInfo Service Protocol,IANA,IT
11971,tibsd,"tcp, udp",TiBS Service,IANA,IT
11997,wmereceiving,sctp,WorldMailExpress,IANA,IT
11998,wmedistribution,sctp,WorldMailExpress,IANA,IT
11999,wmereporting,sctp,WorldMailExpress,IANA,IT
12000,entextxid,"tcp, udp",IBM Enterprise Extender SNA XID Exchange,IANA,IT
12001,entextnetwk,"tcp, udp",IBM Enterprise Extender SNA COS Network Priority,IANA,IT
12002,entexthigh,"tcp, udp",IBM Enterprise Extender SNA COS High Priority,IANA,IT
12003,entextmed,"tcp, udp",IBM Enterprise Extender SNA COS Medium Priority,IANA,IT
12004,entextlow,"tcp, udp",IBM Enterprise Extender SNA COS Low Priority,IANA,IT
12005,dbisamserver1,"tcp, udp",DBISAM Database Server - Regular,IANA,IT
12006,dbisamserver2,"tcp, udp",DBISAM Database Server - Admin,IANA,IT
12007,accuracer,"tcp, udp",Accuracer Database System Server,IANA,IT
12008,accuracer-dbms,"tcp, udp",Accuracer Database System Admin,IANA,IT
12009,ghvpn,"tcp, udp",Green Hills VPN,IANA,IT
12010,edbsrvr,"tcp, udp",ElevateDB Server,IANA,IT
12012,vipera,"tcp, udp",Vipera Messaging Service,IANA,IT
12013,vipera-ssl,"tcp, udp",Vipera Messaging Service over SSL Communication,IANA,IT
12109,rets-ssl,"tcp, udp",RETS over SSL,IANA,IT
12121,nupaper-ss,"tcp, udp",NuPaper Session Service,IANA,IT
12135,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
12136,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
12137,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
12168,cawas,"tcp, udp",CA Web Access Service,IANA,IT
12172,hivep,"tcp, udp",HiveP,IANA,IT
12300,linogridengine,"tcp, udp",LinoGrid Engine,IANA,IT
12302,rads,"tcp, udp","Remote Administration Daemon (RAD) is a system service that offers secure, remote, programmatic access to Solaris system configuration and run-time state",IANA,IT
12316,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
12321,warehouse-sss,"tcp, udp",Warehouse Monitoring Syst SSS,IANA,IT
12322,warehouse,"tcp, udp",Warehouse Monitoring Syst,IANA,IT
12345,italk,"tcp, udp",Italk Chat System,IANA,IT
12546,carb-repl-ctrl,"tcp, udp",Carbonite Server Replication Control,IANA,IT
12645,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
12647,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
12648,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols,ICS
12753,tsaf,"tcp, udp",tsaf port,IANA,IT
12865,netperf,"tcp, udp",control port for the netperf benchmark,IANA,IT
13160,i-zipqd,"tcp, udp",I-ZIPQD,IANA,IT
13216,bcslogc,"tcp, udp",Black Crow Software application logging,IANA,IT
13217,rs-pias,"tcp, udp",R&S Proxy Installation Assistant Service,IANA,IT
13218,"emc-vcas-tcp, emc-vcas-udp","tcp, udp","EMC Virtual CAS Service, EMV Virtual CAS Service Discovery",IANA,IT
13223,powwow-client,"tcp, udp",PowWow Client,IANA,IT
13224,powwow-server,"tcp, udp",PowWow Server,IANA,IT
13400,"doip-disc, doip-data","tcp, udp","DoIP Data, DoIP Discovery",IANA,IT
13720,bprd,"tcp, udp",BPRD Protocol (VERITAS NetBackup),IANA,IT
13721,bpdbm,"tcp, udp",BPDBM Protocol (VERITAS NetBackup),IANA,IT
13722,"bpjava-msvc, ABB Ranger 2003","tcp, udp","BP Java MSVC Protocol, ABB Ranger 2003","IANA, https://github.com/ITI/ICS-Security-Tools/tree/master/protocols","IT, ICS"
13724,"vnetd, ABB Ranger 2003","tcp, udp","Veritas Network Utility, ABB Ranger 2003","IANA, https://github.com/ITI/ICS-Security-Tools/tree/master/protocols","IT, ICS"
13782,"bpcd, ABB Ranger 2003","tcp, udp","VERITAS NetBackup, ABB Ranger 2003","IANA, https://github.com/ITI/ICS-Security-Tools/tree/master/protocols","IT, ICS"
13783,"vopied, ABB Ranger 2003","tcp, udp","VOPIED Protocol, ABB Ranger 2003","IANA, https://github.com/ITI/ICS-Security-Tools/tree/master/protocols","IT, ICS"
13785,nbdb,"tcp, udp",NetBackup Database,IANA,IT
13786,nomdb,"tcp, udp",Veritas-nomdb,IANA,IT
13818,dsmcc-config,"tcp, udp",DSMCC Config,IANA,IT
13819,dsmcc-session,"tcp, udp",DSMCC Session Messages,IANA,IT
13820,dsmcc-passthru,"tcp, udp",DSMCC Pass-Thru Messages,IANA,IT
13821,dsmcc-download,"tcp, udp",DSMCC Download Protocol,IANA,IT
13822,dsmcc-ccp,"tcp, udp",DSMCC Channel Change Protocol,IANA,IT
13823,bmdss,"tcp, udp",Blackmagic Design Streaming Server,IANA,IT
13832,a-trust-rpc,"tcp, udp",Certificate Management and Issuing,IANA,IT
13894,ucontrol,"tcp, udp",Ultimate Control communication protocol,IANA,IT
13929,dta-systems,"tcp, udp",D-TA SYSTEMS,IANA,IT
13930,medevolve,"tcp, udp",MedEvolve Port Requester,IANA,IT
14000,scotty-ft,"tcp, udp",SCOTTY High-Speed Filetransfer,IANA,IT
14001,sua,"sctp, tcp, udp","De-Registered, SUA",IANA,IT
14002,scotty-disc,"tcp, udp",Discovery of a SCOTTY hardware codec board,IANA,IT
14033,sage-best-com1,"tcp, udp",sage Best! Config Server 1,IANA,IT
14034,sage-best-com2,"tcp, udp",sage Best! Config Server 2,IANA,IT
14141,vcs-app,"tcp, udp",VCS Application,IANA,IT
14142,icpp,"tcp, udp",IceWall Cert Protocol,IANA,IT
14143,icpps,"tcp, udp",IceWall Cert Protocol over TLS,IANA,IT
14145,gcm-app,"tcp, udp",GCM Application,IANA,IT
14149,vrts-tdd,"tcp, udp",Veritas Traffic Director,IANA,IT
14150,vcscmd,"tcp, udp",Veritas Cluster Server Command Server,IANA,IT
14154,vad,"tcp, udp",Veritas Application Director,IANA,IT
14250,cps,"tcp, udp",Fencing Server,IANA,IT
14414,ca-web-update,"tcp, udp",CA eTrust Web Update Service,IANA,IT
14500,xpra,"tcp, udp",xpra network protocol,IANA,IT
14936,hde-lcesrvr-1,"tcp, udp",hde-lcesrvr-1,IANA,IT
14937,hde-lcesrvr-2,"tcp, udp",hde-lcesrvr-2,IANA,IT
15000,hydap,"tcp, udp",Hypack Data Aquisition,IANA,IT
15002,onep-tls,"tcp, udp",Open Network Environment TLS,IANA,IT
15118,v2g-secc,"tcp, udp",v2g Supply Equipment Communication Controller Discovery Protocol,IANA,IT
15345,xpilot,"tcp, udp",XPilot Contact Port,IANA,IT
15363,3link,"tcp, udp",3Link Negotiation,IANA,IT
15555,cisco-snat,"tcp, udp",Cisco Stateful NAT,IANA,IT
15660,bex-xr,"tcp, udp",Backup Express Restore Server,IANA,IT
15740,ptp,"tcp, udp",Picture Transfer Protocol,IANA,IT
15998,2ping,"tcp, udp",2ping Bi-Directional Ping Service,IANA,IT
15999,programmar,"tcp, udp",ProGrammar Enterprise,IANA,IT
16000,fmsas,"tcp, udp",Administration Server Access,IANA,IT
16001,fmsascon,"tcp, udp",Administration Server Connector,IANA,IT
16002,gsms,"tcp, udp",GoodSync Mediation Service,IANA,IT
16003,alfin,"tcp, udp",Automation and Control by REGULACE.ORG,IANA,IT
16020,jwpc,"tcp, udp",Filemaker Java Web Publishing Core,IANA,IT
16021,jwpc-bin,"tcp, udp",Filemaker Java Web Publishing Core Binary,IANA,IT
16161,sun-sea-port,"tcp, udp",Solaris SEA Port,IANA,IT
16162,solaris-audit,"tcp, udp",Solaris Audit - secure remote audit log,IANA,IT
16309,etb4j,"tcp, udp",etb4j,IANA,IT
16310,pduncs,"tcp, udp","Update Notification, Policy Distribute",IANA,IT
16311,pdefmns,"tcp, udp",Policy definition and update management,IANA,IT
16360,netserialext1,"tcp, udp",Network Serial Extension Ports One,IANA,IT
16361,netserialext2,"tcp, udp",Network Serial Extension Ports Two,IANA,IT
16367,netserialext3,"tcp, udp",Network Serial Extension Ports Three,IANA,IT
16368,netserialext4,"tcp, udp",Network Serial Extension Ports Four,IANA,IT
16384,connected,"tcp, udp",Connected Corp,IANA,IT
16385,rdgs,"tcp, udp",Reliable Datagram Sockets,IANA,IT
16619,xoms,"tcp, udp",X509 Objects Management Service,IANA,IT
16665,axon-tunnel,"tcp, udp",Reliable multipath data transport for high latencies,IANA,IT
16666,vtp,"tcp, udp",Vidder Tunnel Protocol,IANA,IT
16789,cadsisvr,"tcp, udp",This server provides callable services to mainframe External Security Managers from any TCP/IP platform,IANA,IT
16900,newbay-snc-mc,"tcp, udp",Newbay Mobile Client Update Service,IANA,IT
16950,sgcip,"tcp, udp",Simple Generic Client Interface Protocol,IANA,IT
16991,intel-rci-mp,"tcp, udp",INTEL-RCI-MP,IANA,IT
16992,amt-soap-http,"tcp, udp",Intel(R) AMT SOAP/HTTP,IANA,IT
16993,amt-soap-https,"tcp, udp",Intel(R) AMT SOAP/HTTPS,IANA,IT
16994,amt-redir-tcp,"tcp, udp",Intel(R) AMT Redirection/TCP,IANA,IT
16995,amt-redir-tls,"tcp, udp",Intel(R) AMT Redirection/TLS,IANA,IT
17007,isode-dua,"tcp, udp",,IANA,IT
17010,ncpu,"tcp, udp",Plan 9 cpu port,IANA,IT
17184,vestasdlp,"tcp, udp",Vestas Data Layer Protocol,IANA,IT
17185,soundsvirtual,"tcp, udp",Sounds Virtual,IANA,IT
17219,chipper,"tcp, udp",Chipper,IANA,IT
17220,avtp,"tcp, udp",IEEE 1722 Transport Protocol for Time Sensitive Applications,IANA,IT
17221,avdecc,"tcp, udp","Enumeration, and Control, Connection management, IEEE 1722.1 AVB Discovery",IANA,IT
17222,cpsp,"tcp, udp",Control Plane Synchronization Protocol (SPSP),IANA,IT
17223,isa100-gci,"tcp, udp",ISA100 GCI is a service utilizing a common interface between an ISA100 Wireless gateway and a client application,IANA,IT
17224,trdp-pd,"tcp, udp",Train Realtime Data Protocol (TRDP) Process Data,IANA,IT
17225,trdp-md,"tcp, udp",Train Realtime Data Protocol (TRDP) Message Data,IANA,IT
17234,integrius-stp,"tcp, udp",Integrius Secure Tunnel Protocol,IANA,IT
17235,ssh-mgmt,"tcp, udp",SSH Tectia Manager,IANA,IT
17500,"db-lsp-disc, db-lsp","tcp, udp","Dropbox LanSync Protocol, Dropbox LanSync Discovery",IANA,IT
17555,ailith,"tcp, udp",Ailith management of routers,IANA,IT
17729,ea,"tcp, udp",Eclipse Aviation,IANA,IT
17754,zep,"tcp, udp",Encap. ZigBee Packets,IANA,IT
17755,zigbee-ip,"tcp, udp",ZigBee IP Transport Service,IANA,IT
17756,zigbee-ips,"tcp, udp",ZigBee IP Transport Secure Service,IANA,IT
17777,sw-orion,"tcp, udp",SolarWinds Orion,IANA,IT
18000,"biimenu, Iconic Genesis32 GenBroker (TCP)","tcp, udp","Beckman Instruments, Inc., Iconic Genesis32 GenBroker (TCP)","IANA, https://github.com/ITI/ICS-Security-Tools/tree/master/protocols","IT, ICS"
18104,radpdf,"tcp, udp",RAD PDF Service,IANA,IT
18136,racf,"tcp, udp",z/OS Resource Access Control Facility,IANA,IT
18181,opsec-cvp,"tcp, udp",OPSEC CVP,IANA,IT
18182,opsec-ufp,"tcp, udp",OPSEC UFP,IANA,IT
18183,opsec-sam,"tcp, udp",OPSEC SAM,IANA,IT
18184,opsec-lea,"tcp, udp",OPSEC LEA,IANA,IT
18185,opsec-omi,"tcp, udp",OPSEC OMI,IANA,IT
18186,ohsc,"tcp, udp","Occupational Health SC, Occupational Health Sc",IANA,IT
18187,opsec-ela,"tcp, udp",OPSEC ELA,IANA,IT
18241,checkpoint-rtm,"tcp, udp",Check Point RTM,IANA,IT
18242,iclid,"tcp, udp",Checkpoint router monitoring,IANA,IT
18243,clusterxl,"tcp, udp",Checkpoint router state backup,IANA,IT
18262,gv-pf,"tcp, udp",GV NetConfig Service,IANA,IT
18463,ac-cluster,"tcp, udp",AC Cluster,IANA,IT
