Port Number,Service Name,Transport Protocol,Description,Source,System Type
5320,bsfserver-zn,"tcp, udp",Webservices-based Zn interface of BSF,IANA,IT
5321,bsfsvr-zn-ssl,"tcp, udp",Webservices-based Zn interface of BSF over SSL,IANA,IT
5343,kfserver,"tcp, udp",Sculptor Database Server,IANA,IT
5344,xkotodrcp,"tcp, udp",xkoto DRCP,IANA,IT
5349,"stun-behaviors, turns, stuns","tcp, udp","TURN over DTLS, STUN Behavior Discovery over TLS, TURN over TLS, STUN over DTLS, Reserved for a future enhancement of STUN-BEHAVIOR, Session Traversal Utilities for NAT (STUN) port",IANA,IT
5350,pcp-multicast,"tcp, udp",Port Control Protocol Multicast,IANA,IT
5351,pcp,"tcp, udp",Port Control Protocol,IANA,IT
5352,dns-llq,"tcp, udp",DNS Long-Lived Queries,IANA,IT
5353,mdns,"tcp, udp",Multicast DNS,IANA,IT
5354,mdnsresponder,"tcp, udp",Multicast DNS Responder IPC,IANA,IT
5355,llmnr,"tcp, udp",LLMNR,IANA,IT
5356,ms-smlbiz,"tcp, udp",Microsoft Small Business,IANA,IT
5357,wsdapi,"tcp, udp",Web Services for Devices,IANA,IT
5358,wsdapi-s,"tcp, udp",WS for Devices Secured,IANA,IT
5359,ms-alerter,"tcp, udp",Microsoft Alerter,IANA,IT
5360,ms-sideshow,"tcp, udp",Protocol for Windows SideShow,IANA,IT
5361,ms-s-sideshow,"tcp, udp",Secure Protocol for Windows SideShow,IANA,IT
5362,serverwsd2,"tcp, udp",Microsoft Windows Server WSD2 Service,IANA,IT
5363,net-projection,"tcp, udp",Windows Network Projection,IANA,IT
5364,kdnet,"tcp, udp",Microsoft Kernel Debugger,IANA,IT
5397,stresstester,"tcp, udp",StressTester(tm) Injector,IANA,IT
5398,elektron-admin,"tcp, udp",Elektron Administration,IANA,IT
5399,securitychase,"tcp, udp",SecurityChase,IANA,IT
5400,excerpt,"tcp, udp",Excerpt Search,IANA,IT
5401,excerpts,"tcp, udp",Excerpt Search Secure,IANA,IT
5402,mftp,"tcp, udp",OmniCast MFTP,IANA,IT
5403,hpoms-ci-lstn,"tcp, udp",HPOMS-CI-LSTN,IANA,IT
5404,hpoms-dps-lstn,"tcp, udp",HPOMS-DPS-LSTN,IANA,IT
5405,netsupport,"tcp, udp",NetSupport,IANA,IT
5406,systemics-sox,"tcp, udp",Systemics Sox,IANA,IT
5407,foresyte-clear,"tcp, udp",Foresyte-Clear,IANA,IT
5408,foresyte-sec,"tcp, udp",Foresyte-Sec,IANA,IT
5409,salient-dtasrv,"tcp, udp",Salient Data Server,IANA,IT
5410,salient-usrmgr,"tcp, udp",Salient User Manager,IANA,IT
5411,actnet,"tcp, udp",ActNet,IANA,IT
5412,continuus,"tcp, udp",Continuus,IANA,IT
5413,wwiotalk,"tcp, udp",WWIOTALK,IANA,IT
5414,statusd,"tcp, udp",StatusD,IANA,IT
5415,ns-server,"tcp, udp",NS Server,IANA,IT
5416,sns-gateway,"tcp, udp",SNS Gateway,IANA,IT
5417,sns-agent,"tcp, udp",SNS Agent,IANA,IT
5418,mcntp,"tcp, udp",MCNTP,IANA,IT
5419,dj-ice,"tcp, udp",DJ-ICE,IANA,IT
5420,cylink-c,"tcp, udp",Cylink-C,IANA,IT
5421,netsupport2,"tcp, udp",Net Support 2,IANA,IT
5422,salient-mux,"tcp, udp",Salient MUX,IANA,IT
5423,virtualuser,"tcp, udp",VIRTUALUSER,IANA,IT
5424,beyond-remote,"tcp, udp",Beyond Remote,IANA,IT
5425,br-channel,"tcp, udp",Beyond Remote Command Channel,IANA,IT
5426,devbasic,"tcp, udp",DEVBASIC,IANA,IT
5427,sco-peer-tta,"tcp, udp",SCO-PEER-TTA,IANA,IT
5428,telaconsole,"tcp, udp",TELACONSOLE,IANA,IT
5429,base,"tcp, udp",Billing and Accounting System Exchange,IANA,IT
5430,radec-corp,"tcp, udp",RADEC CORP,IANA,IT
5431,park-agent,"tcp, udp",PARK AGENT,IANA,IT
5432,postgresql,"tcp, udp",PostgreSQL Database,IANA,IT
5433,pyrrho,"tcp, udp",Pyrrho DBMS,IANA,IT
5434,sgi-arrayd,"tcp, udp",SGI Array Services Daemon,IANA,IT
5435,sceanics,"tcp, udp",SCEANICS situation and action notification,IANA,IT
5436,pmip6-cntl,"tcp, udp",pmip6-cntl,IANA,IT
5437,pmip6-data,"tcp, udp",pmip6-data,IANA,IT
5443,spss,"tcp, udp",Pearson HTTPS,IANA,IT
5445,smbdirect,"sctp, tcp, udp",Server Message Block over Remote Direct Memory Access,IANA,IT
5450,"tiepie-disc, tiepie, OSIsoft PI Server","tcp, udp","TiePie engineering data acquisition, TiePie engineering data acquisition (discovery), OSIsoft PI Server",IANA,"IT, ICS"
5453,surebox,"tcp, udp",SureBox,IANA,IT
5454,apc-5454,"tcp, udp",APC 5454,IANA,IT
5455,apc-5455,"tcp, udp",APC 5455,IANA,IT
5456,apc-5456,"tcp, udp",APC 5456,IANA,IT
5461,silkmeter,"tcp, udp",SILKMETER,IANA,IT
5462,ttl-publisher,"tcp, udp",TTL Publisher,IANA,IT
5463,ttlpriceproxy,"tcp, udp",TTL Price Proxy,IANA,IT
5464,quailnet,"tcp, udp",Quail Networks Object Broker,IANA,IT
5465,netops-broker,"tcp, udp",NETOPS-BROKER,IANA,IT
5470,apsolab-col,"tcp, udp",The Apsolab company's data collection protocol (native api),IANA,IT
5471,apsolab-cols,"tcp, udp",The Apsolab company's secure data collection protocol (native api),IANA,IT
5472,apsolab-tag,"tcp, udp",The Apsolab company's dynamic tag protocol,IANA,IT
5473,apsolab-tags,"tcp, udp",The Apsolab company's secure dynamic tag protocol,IANA,IT
5474,apsolab-rpc,"tcp, udp",The Apsolab company's status query protocol,IANA,IT
5475,apsolab-data,"tcp, udp",The Apsolab company's data retrieval protocol,IANA,IT
5500,fcp-addr-srvr1,"tcp, udp",fcp-addr-srvr1,IANA,IT
5501,fcp-addr-srvr2,"tcp, udp",fcp-addr-srvr2,IANA,IT
5502,fcp-srvr-inst1,"tcp, udp",fcp-srvr-inst1,IANA,IT
5503,fcp-srvr-inst2,"tcp, udp",fcp-srvr-inst2,IANA,IT
5504,fcp-cics-gw1,"tcp, udp",fcp-cics-gw1,IANA,IT
5505,checkoutdb,"tcp, udp",Checkout Database,IANA,IT
5506,amc,"tcp, udp",Amcom Mobile Connect,IANA,IT
5507,psl-management,"tcp, udp",PowerSysLab Electrical Management,IANA,IT
5540,matter,"tcp, udp",Matter Operational Discovery and Communi,IANA,IT
5543,qftest-licserve,"tcp, udp",QF-Test License Server,IANA,IT
5550,cbus,"tcp, udp",Model Railway control using the CBUS message protocol,IANA,IT
5553,sgi-eventmond,"tcp, udp",SGI Eventmond Port,IANA,IT
5554,sgi-esphttp,"tcp, udp",SGI ESP HTTP,IANA,IT
5555,personal-agent,"tcp, udp",Personal Agent,IANA,IT
5556,freeciv,"tcp, udp",Freeciv gameplay,IANA,IT
5557,farenet,"tcp, udp",Sandlab FARENET,IANA,IT
5565,dp-bura,"tcp, udp",Data Protector BURA,IANA,IT
5566,westec-connect,"tcp, udp",Westec Connect,IANA,IT
5567,dof-dps-mc-sec,"tcp, udp",DOF Protocol Stack Multicast/Secure Transport,IANA,IT
5568,sdt,"tcp, udp",Session Data Transport Multicast,IANA,IT
5569,"rdmnet-ctrl, rdmnet-device","tcp, udp","PLASA E1.33, Remote Device Management (RDM) messages, Remote Device Management (RDM) controller status notifications",IANA,IT
5570,,,Unassigned,IANA,IT
5571,,,Unassigned,IANA,IT
5572,,,Unassigned,IANA,IT
5573,sdmmp,"tcp, udp",SAS Domain Management Messaging Protocol,IANA,IT
5574,lsi-bobcat,"tcp, udp",SAS IO Forwarding,IANA,IT
5575,ora-oap,"tcp, udp",Oracle Access Protocol,IANA,IT
